seqid	ann1_start	ann1_end	ann1_score	ann1_name	ann1_class	ann2_start	ann2_end	ann2_score	ann2_name	ann2_class	overlap_start	overlap_end	overlap_length
CP002684.1	5898934	5899206	2036	TIR_0	DNA/PIF-Harbinger	5899206	5899754	4128	TIR_17	Unknown	5899206	5899206	1
CP002684.1	5899206	5899754	4128	TIR_17	Unknown	5899751	5899890	937	TIR_0	DNA/PIF-Harbinger	5899751	5899754	4
CP002684.1	5913510	5913647	489	TIR_33	DNA/TcMar	5913629	5913782	317	TIR_98	DNA/MULE	5913629	5913647	19
CP002684.1	5958638	5959569	7905	Homology_Non_LTR_6	LINE/L1	5959561	5959682	990	Homology_Non_LTR_6	LINE/L1	5959561	5959569	9
CP002684.1	5965478	5966576	4845	TIR_16	DNA/PIF-Harbinger	5965757	5967002	5325	TIR_38	Unknown	5965757	5966576	820
CP002684.1	6233936	6234723	5500	TIR_3	Unknown	6234574	6234767	275	Helitron_33	RC/Helitron	6234574	6234723	150
CP002684.1	6233936	6234723	5500	TIR_3	Unknown	6234719	6235099	2699	TIR_3	Unknown	6234719	6234723	5
CP002684.1	6234574	6234767	275	Helitron_33	RC/Helitron	6234719	6235099	2699	TIR_3	Unknown	6234719	6234767	49
CP002684.1	6454679	6455737	5799	TIR_38	Unknown	6455061	6456013	5069	TIR_16	DNA/PIF-Harbinger	6455061	6455737	677
CP002684.1	6514456	6514575	357	LTR_15-LTR	LTR/Gypsy	6514477	6515311	5917	TIR_19	Unknown	6514477	6514575	99
CP002684.1	6587685	6587976	876	TIR_101	DNA/TcMar	6587957	6588058	504	TIR_71	DNA/PIF-Harbinger	6587957	6587976	20
CP002684.1	6719456	6720196	2781	LTR_231-int	LTR/Copia	6719976	6720227	333	LTR_261-int	LTR/Copia	6719976	6720196	221
CP002684.1	6719456	6720196	2781	LTR_231-int	LTR/Copia	6720181	6720615	1257	LTR_231-int	LTR/Copia	6720181	6720196	16
CP002684.1	6719976	6720227	333	LTR_261-int	LTR/Copia	6720181	6720615	1257	LTR_231-int	LTR/Copia	6720181	6720227	47
CP002684.1	7024332	7024534	365	TIR_92	DNA/MULE	7024364	7024536	398	TIR_33	DNA/TcMar	7024364	7024534	171
CP002684.1	7067785	7067891	254	LTR_215-int	LTR/Gypsy	7067797	7068226	524	LTR_153-int	LTR/Gypsy	7067797	7067891	95
CP002684.1	7068330	7070255	4026	LTR_215-int	LTR/Gypsy	7069309	7070416	1443	LTR_260-int	LTR/Gypsy	7069309	7070255	947
CP002684.1	7985470	7986043	1077	TIR_10	Unknown	7985583	7986111	2692	TIR_38	Unknown	7985583	7986043	461
CP002684.1	8266654	8266812	304	TIR_62	DNA/PIF-Harbinger	8266658	8267178	2917	TIR_38	Unknown	8266658	8266812	155
CP002684.1	8266654	8266812	304	TIR_62	DNA/PIF-Harbinger	8266756	8267520	5675	TIR_16	DNA/PIF-Harbinger	8266756	8266812	57
CP002684.1	8266658	8267178	2917	TIR_38	Unknown	8266756	8267520	5675	TIR_16	DNA/PIF-Harbinger	8266756	8267178	423
CP002684.1	8277959	8278319	764	TIR_16	DNA/PIF-Harbinger	8278062	8278556	778	TIR_10	Unknown	8278062	8278319	258
CP002684.1	8277959	8278319	764	TIR_16	DNA/PIF-Harbinger	8278160	8278661	689	TIR_10	Unknown	8278160	8278319	160
CP002684.1	8277959	8278319	764	TIR_16	DNA/PIF-Harbinger	8278263	8278675	1308	TIR_38	Unknown	8278263	8278319	57
CP002684.1	8278062	8278556	778	TIR_10	Unknown	8278160	8278661	689	TIR_10	Unknown	8278160	8278556	397
CP002684.1	8278062	8278556	778	TIR_10	Unknown	8278263	8278675	1308	TIR_38	Unknown	8278263	8278556	294
CP002684.1	8278062	8278556	778	TIR_10	Unknown	8278322	8278795	758	TIR_10	Unknown	8278322	8278556	235
CP002684.1	8278160	8278661	689	TIR_10	Unknown	8278263	8278675	1308	TIR_38	Unknown	8278263	8278661	399
CP002684.1	8278160	8278661	689	TIR_10	Unknown	8278322	8278795	758	TIR_10	Unknown	8278322	8278661	340
CP002684.1	8278263	8278675	1308	TIR_38	Unknown	8278322	8278795	758	TIR_10	Unknown	8278322	8278675	354
CP002684.1	8489415	8490193	4322	Helitron_32	RC/Helitron	8490193	8490426	1781	TIR_15	DNA/TcMar	8490193	8490193	1
CP002684.1	8512293	8512562	402	TIR_11	Unknown	8512361	8512691	624	Helitron_37	RC/Helitron	8512361	8512562	202
CP002684.1	9367449	9367645	1277	Helitron_19	RC/Helitron	9367633	9367971	2045	Helitron_19	RC/Helitron	9367633	9367645	13
CP002684.1	9587250	9587585	1749	Helitron_29	RC/Helitron	9587584	9587684	545	Helitron_29	RC/Helitron	9587584	9587585	2
CP002684.1	9761340	9761541	256	LTR_184-int	LTR/Gypsy	9761495	9761607	240	LTR_241-int	LTR/Gypsy	9761495	9761541	47
CP002684.1	9836491	9836602	400	LTR_15-LTR	LTR/Gypsy	9836509	9837580	8134	Helitron_23	RC/Helitron	9836509	9836602	94
CP002684.1	9902131	9902436	484	LTR_49-LTR	LTR/Gypsy	9902342	9902646	285	LTR_96-LTR	LTR/Gypsy	9902342	9902436	95
CP002684.1	9918860	9918974	374	LTR_15-LTR	LTR/Gypsy	9918887	9918986	251	TIR_39	Unknown	9918887	9918974	88
CP002684.1	9918860	9918974	374	LTR_15-LTR	LTR/Gypsy	9918900	9919013	459	Helitron_35	RC/Helitron	9918900	9918974	75
CP002684.1	9918887	9918986	251	TIR_39	Unknown	9918900	9919013	459	Helitron_35	RC/Helitron	9918900	9918986	87
CP002684.1	10315444	10315712	237	LTR_23-LTR	LTR/Copia	10315497	10315737	346	LTR_8-LTR	LTR/Copia	10315497	10315712	216
CP002684.1	10922674	10923191	703	TIR_10	Unknown	10922818	10923248	1028	TIR_16	DNA/PIF-Harbinger	10922818	10923191	374
CP002684.1	10922674	10923191	703	TIR_10	Unknown	10922881	10923350	748	TIR_10	Unknown	10922881	10923191	311
CP002684.1	10922818	10923248	1028	TIR_16	DNA/PIF-Harbinger	10922881	10923350	748	TIR_10	Unknown	10922881	10923248	368
CP002684.1	10922881	10923350	748	TIR_10	Unknown	10923249	10923348	634	TIR_10	Unknown	10923249	10923348	100
CP002684.1	11153875	11154161	538	Helitron_37	RC/Helitron	11153909	11154275	572	TIR_11	Unknown	11153909	11154161	253
CP002684.1	11153909	11154275	572	TIR_11	Unknown	11154244	11154436	795	Helitron_19	RC/Helitron	11154244	11154275	32
CP002684.1	11178296	11178868	1706	LTR_86-LTR	LTR/Copia	11178687	11178936	344	LTR_43-LTR	LTR/Copia	11178687	11178868	182
CP002684.1	11302262	11303751	11230	TIR_108	DNA/CMC-EnSpm	11303740	11309354	44571	TIR_69	DNA/CMC-EnSpm	11303740	11303751	12
CP002684.1	11303740	11309354	44571	TIR_69	DNA/CMC-EnSpm	11309139	11310307	5974	TIR_108	DNA/CMC-EnSpm	11309139	11309354	216
CP002684.1	11505948	11507121	2987	LTR_215-int	LTR/Gypsy	11507110	11507634	704	LTR_191-int	LTR/Gypsy	11507110	11507121	12
CP002684.1	11521898	11522947	7501	TIR_11	Unknown	11522859	11522976	289	LTR_15-LTR	LTR/Gypsy	11522859	11522947	89
CP002684.1	11525754	11526797	6221	TIR_11	Unknown	11526709	11526829	409	LTR_15-LTR	LTR/Gypsy	11526709	11526797	89
CP002684.1	11527221	11527548	1181	TIR_38	Unknown	11527226	11527595	1103	TIR_16	DNA/PIF-Harbinger	11527226	11527548	323
CP002684.1	11649256	11649697	1743	Helitron_20	RC/Helitron	11649678	11649912	1178	Helitron_20	RC/Helitron	11649678	11649697	20
CP002684.1	11789450	11789724	2437	LTR_82-LTR	LTR/Copia	11789722	11793805	23519	LTR_151-int	LTR/Copia	11789722	11789724	3
CP002684.1	11789722	11793805	23519	LTR_151-int	LTR/Copia	11793805	11794079	2437	LTR_82-LTR	LTR/Copia	11793805	11793805	1
CP002684.1	12014179	12014315	424	Helitron_17	RC/Helitron	12014210	12014332	512	TIR_112	DNA/hAT	12014210	12014315	106
CP002684.1	12136633	12137284	4856	Helitron_31	RC/Helitron	12137283	12137682	3086	Helitron_31	RC/Helitron	12137283	12137284	2
CP002684.1	12240506	12240735	1657	TIR_17	Unknown	12240729	12240910	1423	TIR_17	Unknown	12240729	12240735	7
CP002684.1	12272044	12272222	505	TIR_11	Unknown	12272215	12272447	626	Helitron_31	RC/Helitron	12272215	12272222	8
CP002684.1	12273069	12273282	276	LTR_23-LTR	LTR/Copia	12273267	12274623	2513	LTR_230-int	LTR/Copia	12273267	12273282	16
CP002684.1	12327927	12328156	980	TIR_37	DNA/TcMar	12328074	12328360	2324	TIR_9	Unknown	12328074	12328156	83
CP002684.1	12363902	12364136	440	Helitron_0	RC/Helitron	12364136	12365991	14622	Helitron_14	RC/Helitron	12364136	12364136	1
CP002684.1	12404281	12404723	974	LTR_153-int	LTR/Gypsy	12404295	12404876	469	LTR_215-int	LTR/Gypsy	12404295	12404723	429
CP002684.1	12457515	12457682	261	Helitron_20	RC/Helitron	12457654	12457806	346	LTR_15-LTR	LTR/Gypsy	12457654	12457682	29
CP002684.1	12457654	12457806	346	LTR_15-LTR	LTR/Gypsy	12457685	12458253	3967	Helitron_10	RC/Helitron	12457685	12457806	122
CP002684.1	12469155	12469394	869	Helitron_20	RC/Helitron	12469351	12469556	394	TIR_3	Unknown	12469351	12469394	44
CP002684.1	12469155	12469394	869	Helitron_20	RC/Helitron	12469375	12469609	1162	Helitron_20	RC/Helitron	12469375	12469394	20
CP002684.1	12469351	12469556	394	TIR_3	Unknown	12469375	12469609	1162	Helitron_20	RC/Helitron	12469375	12469556	182
CP002684.1	12513251	12513415	283	LTR_49-LTR	LTR/Gypsy	12513320	12513725	680	LTR_96-LTR	LTR/Gypsy	12513320	12513415	96
CP002684.1	12569586	12572123	17645	LTR_202-int	LTR/Gypsy	12572120	12572712	3076	LTR_32-LTR	LTR/Gypsy	12572120	12572123	4
CP002684.1	12635220	12636232	2579	TIR_2	Unknown	12635927	12636316	537	Helitron_23	RC/Helitron	12635927	12636232	306
CP002684.1	12664695	12666577	12861	LTR_186-int	LTR/Gypsy	12666569	12669605	15160	LTR_185-int	LTR/Gypsy	12666569	12666577	9
CP002684.1	12669621	12670116	3388	LTR_186-int	LTR/Gypsy	12670116	12673167	23731	LTR_186-int	LTR/Gypsy	12670116	12670116	1
CP002684.1	12679874	12680165	1475	LTR_137-LTR	LTR/Gypsy	12680148	12680308	360	LTR_137-LTR	LTR/Gypsy	12680148	12680165	18
CP002684.1	12813938	12815691	14655	LTR_201-int	LTR/Copia	12815689	12816157	3945	LTR_201-int	LTR/Copia	12815689	12815691	3
CP002684.1	12842158	12842886	5671	LTR_179-int	LTR/Copia	12842884	12845445	19366	LTR_179-int	LTR/Copia	12842884	12842886	3
CP002684.1	12847941	12848150	863	LTR_96-LTR	LTR/Gypsy	12847973	12848646	2146	LTR_49-LTR	LTR/Gypsy	12847973	12848150	178
CP002684.1	12873029	12873324	490	Helitron_33	RC/Helitron	12873308	12873540	646	Helitron_33	RC/Helitron	12873308	12873324	17
CP002684.1	12874423	12874531	321	Helitron_33	RC/Helitron	12874520	12874885	1207	Helitron_33	RC/Helitron	12874520	12874531	12
CP002684.1	12874520	12874885	1207	Helitron_33	RC/Helitron	12874880	12875045	681	Helitron_33	RC/Helitron	12874880	12874885	6
CP002684.1	12875347	12875503	336	TIR_3	Unknown	12875381	12875587	719	Helitron_16	RC/Helitron	12875381	12875503	123
CP002684.1	12889975	12890182	397	Helitron_33	RC/Helitron	12890122	12890237	248	TIR_112	DNA/hAT	12890122	12890182	61
CP002684.1	12903910	12904068	410	TIR_3	Unknown	12903969	12904209	838	Helitron_16	RC/Helitron	12903969	12904068	100
CP002684.1	12942847	12943343	4148	TIR_108	DNA/CMC-EnSpm	12943324	12946282	25634	TIR_69	DNA/CMC-EnSpm	12943324	12943343	20
CP002684.1	12943324	12946282	25634	TIR_69	DNA/CMC-EnSpm	12946241	12947011	6381	TIR_108	DNA/CMC-EnSpm	12946241	12946282	42
CP002684.1	12990119	12990551	572	LTR_176-int	LTR/Copia	12990178	12990862	1086	LTR_213-int	LTR/Copia	12990178	12990551	374
CP002684.1	13030273	13030416	536	Homology_Non_LTR_0	LINE/L1	13030308	13030428	761	TIR_53	Unknown	13030308	13030416	109
CP002684.1	13064080	13064377	1951	Helitron_15	RC/Helitron	13064373	13064993	3362	Helitron_35	RC/Helitron	13064373	13064377	5
CP002684.1	13067828	13068610	3411	Homology_Non_LTR_0	LINE/L1	13068476	13068628	705	TIR_53	Unknown	13068476	13068610	135
CP002684.1	13088858	13089037	269	TIR_13	DNA/PIF-Harbinger	13088879	13089042	273	TIR_10	Unknown	13088879	13089037	159
CP002684.1	13103667	13103806	936	LTR_222-int	LTR/Copia	13103701	13103918	640	TIR_23	DNA/PIF-Harbinger	13103701	13103806	106
CP002684.1	13103701	13103918	640	TIR_23	DNA/PIF-Harbinger	13103916	13104029	411	TIR_23	DNA/PIF-Harbinger	13103916	13103918	3
CP002684.1	13107042	13107282	424	TIR_16	DNA/PIF-Harbinger	13107247	13107376	328	LTR_165-int	LTR/Copia	13107247	13107282	36
CP002684.1	13114225	13114505	873	TIR_33	DNA/TcMar	13114418	13114574	320	TIR_33	DNA/TcMar	13114418	13114505	88
CP002684.1	13183290	13184369	814	LTR_269-int	LTR/Gypsy	13183464	13184438	996	LTR_183-int	LTR/Gypsy	13183464	13184369	906
CP002684.1	13294063	13295761	11045	LTR_171-int	LTR/Gypsy	13295743	13296314	3245	LTR_171-int	LTR/Gypsy	13295743	13295761	19
CP002684.1	13295743	13296314	3245	LTR_171-int	LTR/Gypsy	13296314	13296927	3767	LTR_171-int	LTR/Gypsy	13296314	13296314	1
CP002684.1	13302508	13303267	1718	LTR_201-int	LTR/Copia	13303123	13303388	789	LTR_218-int	LTR/Copia	13303123	13303267	145
CP002684.1	13303123	13303388	789	LTR_218-int	LTR/Copia	13303354	13303515	452	LTR_201-int	LTR/Copia	13303354	13303388	35
CP002684.1	13311613	13312369	2059	LTR_201-int	LTR/Copia	13312233	13312488	791	LTR_218-int	LTR/Copia	13312233	13312369	137
CP002684.1	13312233	13312488	791	LTR_218-int	LTR/Copia	13312459	13312614	955	LTR_201-int	LTR/Copia	13312459	13312488	30
CP002684.1	13313517	13313699	1366	TIR_17	Unknown	13313693	13313922	1622	TIR_17	Unknown	13313693	13313699	7
CP002684.1	13313693	13313922	1622	TIR_17	Unknown	13313829	13313934	549	LTR_15-LTR	LTR/Gypsy	13313829	13313922	94
CP002684.1	13316346	13316545	359	LTR_21-LTR	LTR/Copia	13316393	13316783	835	LTR_122-LTR	LTR/Copia	13316393	13316545	153
CP002684.1	13323941	13324164	428	TIR_92	DNA/MULE	13323967	13324208	232	TIR_33	DNA/TcMar	13323967	13324164	198
CP002684.1	13324990	13327110	4168	LTR_177-int	LTR/Copia	13326966	13327169	268	LTR_245-int	LTR/Copia	13326966	13327110	145
CP002684.1	13365728	13366030	325	TIR_3	Unknown	13365961	13366196	966	Helitron_20	RC/Helitron	13365961	13366030	70
CP002684.1	13400457	13400781	1851	LTR_171-int	LTR/Gypsy	13400777	13401576	5899	LTR_171-int	LTR/Gypsy	13400777	13400781	5
CP002684.1	13407453	13408256	6128	Helitron_16	RC/Helitron	13408253	13409316	8032	Helitron_33	RC/Helitron	13408253	13408256	4
CP002684.1	13411070	13412405	1925	Homology_Non_LTR_24	LINE/L1	13411397	13412538	924	Homology_Non_LTR_10	LINE/L1	13411397	13412405	1009
CP002684.1	13419970	13420126	296	TIR_98	DNA/MULE	13420107	13420240	342	TIR_33	DNA/TcMar	13420107	13420126	20
CP002684.1	13449536	13449734	240	TIR_97	DNA/hAT	13449569	13449785	903	TIR_13	DNA/PIF-Harbinger	13449569	13449734	166
CP002684.1	13465359	13465489	271	TIR_39	Unknown	13465413	13465676	578	TIR_9	Unknown	13465413	13465489	77
CP002684.1	13473794	13474078	374	TIR_2	Unknown	13473972	13474111	479	TIR_11	Unknown	13473972	13474078	107
CP002684.1	13495221	13495425	569	Helitron_13	RC/Helitron	13495422	13495988	3955	TIR_17	Unknown	13495422	13495425	4
CP002684.1	13507780	13508922	8151	LTR_99-LTR	LTR/Gypsy	13508906	13511176	18883	LTR_184-int	LTR/Gypsy	13508906	13508922	17
CP002684.1	13508906	13511176	18883	LTR_184-int	LTR/Gypsy	13511117	13514511	28451	LTR_183-int	LTR/Gypsy	13511117	13511176	60
CP002684.1	13544075	13544532	1983	Helitron_18	RC/Helitron	13544400	13544550	278	Helitron_33	RC/Helitron	13544400	13544532	133
CP002684.1	13565507	13565965	1492	Helitron_20	RC/Helitron	13565938	13566128	446	TIR_3	Unknown	13565938	13565965	28
CP002684.1	13565507	13565965	1492	Helitron_20	RC/Helitron	13565964	13566182	1292	Helitron_20	RC/Helitron	13565964	13565965	2
CP002684.1	13565938	13566128	446	TIR_3	Unknown	13565964	13566182	1292	Helitron_20	RC/Helitron	13565964	13566128	165
CP002684.1	13570425	13570590	454	TIR_3	Unknown	13570459	13570681	854	Helitron_16	RC/Helitron	13570459	13570590	132
CP002684.1	13571053	13571217	622	Helitron_33	RC/Helitron	13571213	13571376	691	TIR_3	Unknown	13571213	13571217	5
CP002684.1	13582072	13582283	822	Helitron_16	RC/Helitron	13582162	13582300	380	TIR_3	Unknown	13582162	13582283	122
CP002684.1	13582627	13582791	671	Helitron_33	RC/Helitron	13582787	13582929	582	Helitron_33	RC/Helitron	13582787	13582791	5
CP002684.1	13591714	13591838	492	TIR_12	Unknown	13591829	13591985	584	LTR_171-int	LTR/Gypsy	13591829	13591838	10
CP002684.1	13600121	13600497	541	LTR_96-LTR	LTR/Gypsy	13600274	13600943	1981	LTR_49-LTR	LTR/Gypsy	13600274	13600497	224
CP002684.1	13643799	13644410	514	Homology_Non_LTR_5	LINE/L1	13644092	13644511	889	Homology_Non_LTR_8	LINE/L1	13644092	13644410	319
CP002684.1	13646766	13648519	10228	LTR_205-int	LTR/Gypsy	13648493	13648810	1489	LTR_145-int	LTR/Gypsy	13648493	13648519	27
CP002684.1	13648493	13648810	1489	LTR_145-int	LTR/Gypsy	13648630	13648998	1614	LTR_205-int	LTR/Gypsy	13648630	13648810	181
CP002684.1	13652321	13653849	10006	LTR_113-LTR	LTR/Gypsy	13653594	13654366	1871	LTR_20-LTR	LTR/Gypsy	13653594	13653849	256
CP002684.1	13654681	13655436	977	TIR_2	Unknown	13655424	13655611	393	TIR_2	Unknown	13655424	13655436	13
CP002684.1	13707179	13707381	247	TIR_101	DNA/TcMar	13707274	13707413	632	TIR_73	DNA/PIF-Harbinger	13707274	13707381	108
CP002684.1	13711060	13711667	4620	LTR_113-LTR	LTR/Gypsy	13711662	13712500	6888	LTR_113-LTR	LTR/Gypsy	13711662	13711667	6
CP002684.1	13749663	13749823	379	TIR_11	Unknown	13749816	13750364	1116	Helitron_35	RC/Helitron	13749816	13749823	8
CP002684.1	13768439	13768755	2015	LTR_54-LTR	LTR/Gypsy	13768754	13772508	26521	LTR_229-int	LTR/Gypsy	13768754	13768755	2
CP002684.1	13772574	13772725	267	LTR_229-int	LTR/Gypsy	13772651	13776416	21548	LTR_228-int	LTR/Gypsy	13772651	13772725	75
CP002684.1	13776418	13777586	8775	LTR_113-LTR	LTR/Gypsy	13777584	13778032	1041	LTR_2-LTR	LTR/Gypsy	13777584	13777586	3
CP002684.1	13779964	13781169	9049	LTR_49-LTR	LTR/Gypsy	13781167	13784763	24459	LTR_171-int	LTR/Gypsy	13781167	13781169	3
CP002684.1	13781167	13784763	24459	LTR_171-int	LTR/Gypsy	13784754	13785497	5563	LTR_49-LTR	LTR/Gypsy	13784754	13784763	10
CP002684.1	13788555	13793495	24546	LTR_227-int	LTR/Gypsy	13793494	13794672	9490	LTR_134-LTR	LTR/Gypsy	13793494	13793495	2
CP002684.1	13793494	13794672	9490	LTR_134-LTR	LTR/Gypsy	13794668	13795195	3755	LTR_133-LTR	LTR/Gypsy	13794668	13794672	5
CP002684.1	13798265	13800080	15348	LTR_229-int	LTR/Gypsy	13800066	13800324	1474	LTR_145-int	LTR/Gypsy	13800066	13800080	15
CP002684.1	13800066	13800324	1474	LTR_145-int	LTR/Gypsy	13800206	13800602	4112	LTR_229-int	LTR/Gypsy	13800206	13800324	119
CP002684.1	13800603	13801474	3428	LTR_197-int	LTR/Gypsy	13800760	13801747	2705	LTR_206-int	LTR/Gypsy	13800760	13801474	715
CP002684.1	13807989	13808205	395	Helitron_30	RC/Helitron	13808205	13808607	2967	Helitron_5	RC/Helitron	13808205	13808205	1
CP002684.1	13827496	13828491	3352	LTR_238-int	LTR/Copia	13828485	13832149	30112	LTR_184-int	LTR/Gypsy	13828485	13828491	7
CP002684.1	13833173	13834412	1782	LTR_238-int	LTR/Copia	13834088	13834460	313	LTR_263-int	LTR/Copia	13834088	13834412	325
CP002684.1	13883073	13884232	9686	LTR_99-LTR	LTR/Gypsy	13884231	13889843	35741	LTR_184-int	LTR/Gypsy	13884231	13884232	2
CP002684.1	13884231	13889843	35741	LTR_184-int	LTR/Gypsy	13889807	13890962	9769	LTR_99-LTR	LTR/Gypsy	13889807	13889843	37
CP002684.1	13913795	13914687	1463	LTR_146-int	LTR/Gypsy	13914676	13915049	723	LTR_197-int	LTR/Gypsy	13914676	13914687	12
CP002684.1	13914676	13915049	723	LTR_197-int	LTR/Gypsy	13914991	13915430	782	LTR_148-int	LTR/Gypsy	13914991	13915049	59
CP002684.1	13921705	13922110	3362	LTR_229-int	LTR/Gypsy	13922106	13922754	1794	LTR_49-LTR	LTR/Gypsy	13922106	13922110	5
CP002684.1	13929194	13929455	632	LTR_96-LTR	LTR/Gypsy	13929233	13929930	1195	LTR_49-LTR	LTR/Gypsy	13929233	13929455	223
CP002684.1	13935252	13935513	632	LTR_96-LTR	LTR/Gypsy	13935291	13935988	1221	LTR_49-LTR	LTR/Gypsy	13935291	13935513	223
CP002684.1	13940854	13941168	2236	LTR_134-LTR	LTR/Gypsy	13941168	13944452	16812	LTR_146-int	LTR/Gypsy	13941168	13941168	1
CP002684.1	13941168	13944452	16812	LTR_146-int	LTR/Gypsy	13943183	13944992	9052	LTR_204-int	LTR/Gypsy	13943183	13944452	1270
CP002684.1	13943183	13944992	9052	LTR_204-int	LTR/Gypsy	13944989	13945770	5528	LTR_146-int	LTR/Gypsy	13944989	13944992	4
CP002684.1	13950720	13953504	14627	LTR_216-int	LTR/Gypsy	13952373	13953577	14469	LTR_215-int	LTR/Gypsy	13952373	13953504	1132
CP002684.1	13959438	13961266	14011	LTR_215-int	LTR/Gypsy	13961261	13961618	2652	LTR_197-int	LTR/Gypsy	13961261	13961266	6
CP002684.1	13967843	13970941	7664	Denovo_Non_LTR_6	LINE/L1	13968597	13971366	3724	Homology_Non_LTR_14	LINE/L1	13968597	13970941	2345
CP002684.1	13993196	13994017	5812	LTR_201-int	LTR/Copia	13994016	13994959	6318	LTR_201-int	LTR/Copia	13994016	13994017	2
CP002684.1	14069862	14070306	723	TIR_82	DNA/hAT	14070233	14070779	935	TIR_63	DNA/hAT	14070233	14070306	74
CP002684.1	14076943	14077674	3477	LTR_49-LTR	LTR/Gypsy	14077382	14077838	1441	LTR_96-LTR	LTR/Gypsy	14077382	14077674	293
CP002684.1	14079718	14079879	354	LTR_171-int	LTR/Gypsy	14079879	14080234	1448	LTR_96-LTR	LTR/Gypsy	14079879	14079879	1
CP002684.1	14097631	14097913	402	Homology_Non_LTR_14	LINE/L1	14097912	14098305	1996	LTR_49-LTR	LTR/Gypsy	14097912	14097913	2
CP002684.1	14100283	14101806	8490	LTR_148-int	LTR/Gypsy	14101804	14102389	3498	LTR_172-int	LTR/Gypsy	14101804	14101806	3
CP002684.1	14107574	14108055	1894	LTR_171-int	LTR/Gypsy	14108049	14108228	515	LTR_49-LTR	LTR/Gypsy	14108049	14108055	7
CP002684.1	14121534	14122997	5166	LTR_20-LTR	LTR/Gypsy	14122728	14123281	1589	LTR_113-LTR	LTR/Gypsy	14122728	14122997	270
CP002684.1	14123282	14125084	10584	LTR_150-int	LTR/Gypsy	14125079	14125399	1385	LTR_145-int	LTR/Gypsy	14125079	14125084	6
CP002684.1	14125079	14125399	1385	LTR_145-int	LTR/Gypsy	14125219	14125740	2371	LTR_150-int	LTR/Gypsy	14125219	14125399	181
CP002684.1	14125219	14125740	2371	LTR_150-int	LTR/Gypsy	14125615	14127002	3482	LTR_197-int	LTR/Gypsy	14125615	14125740	126
CP002684.1	14125615	14127002	3482	LTR_197-int	LTR/Gypsy	14126862	14128331	9571	LTR_229-int	LTR/Gypsy	14126862	14127002	141
CP002684.1	14197439	14199291	13060	LTR_215-int	LTR/Gypsy	14198017	14199456	7526	LTR_216-int	LTR/Gypsy	14198017	14199291	1275
CP002684.1	14198017	14199456	7526	LTR_216-int	LTR/Gypsy	14199334	14199488	1047	LTR_215-int	LTR/Gypsy	14199334	14199456	123
CP002684.1	14199334	14199488	1047	LTR_215-int	LTR/Gypsy	14199482	14199927	36287	LTR_215-int	LTR/Gypsy	14199482	14199488	7
CP002684.1	14241005	14241210	1478	LTR_211-int	LTR/Gypsy	14241203	14242674	10429	LTR_211-int	LTR/Gypsy	14241203	14241210	8
CP002684.1	14241203	14242674	10429	LTR_211-int	LTR/Gypsy	14242402	14242889	909	LTR_210-int	LTR/Gypsy	14242402	14242674	273
